edge_id,point_id_left,point_id_right,kBT_left,J_A_left,kBT_right,J_A_right,z2_left,z2_right,topology_left,topology_right,z2_change_candidate,p0_sign_change_candidate,ppi_sign_change_candidate,edge_length_norm,bulk_gap_min,pfaffian_margin_min,mid_kBT,mid_J_A
0,8,194,0.028,1.0401250000000002,0.0303333333333333,1.06,1,1,topological,topological,False,False,False,0.013041085489620439,0.07419347826004719,0.4964275438095568,0.02916666666666665,1.0500625000000001
1,8,384,0.028,1.0401250000000002,0.021,1.04675,1,1,topological,topological,False,False,False,0.013259795324736085,0.06908925559807715,0.4978957246807932,0.0245,1.0434375
2,8,585,0.028,1.0401250000000002,0.042,1.0268750000000002,1,1,topological,topological,False,False,False,0.026519590649472184,0.07468336429946516,0.4968534753245922,0.035,1.0335
3,8,1205,0.028,1.0401250000000002,0.021,0.987125,1,1,topological,topological,False,False,False,0.03525241415825303,0.07398947197011052,0.48534772331642073,0.0245,1.0136250000000002
4,10,252,0.1656666666666666,0.5830000000000001,0.1586666666666666,0.5830000000000001,0,0,trivial,trivial,False,False,False,0.012605042016806733,0.07059301455407083,0.08555320386208529,0.1621666666666666,0.5830000000000001
5,10,588,0.1656666666666666,0.5830000000000001,0.1796666666666666,0.6095,0,0,trivial,trivial,False,False,False,0.03010830021633132,0.030402919808599833,0.03906295217905281,0.1726666666666666,0.5962500000000001
6,10,590,0.1656666666666666,0.5830000000000001,0.1656666666666666,0.62275,0,0,trivial,trivial,False,False,False,0.024691358024691357,0.005294651542559159,0.0075171432355320145,0.1656666666666666,0.602875
7,10,2486,0.1656666666666666,0.5830000000000001,0.168,0.54325,0,0,trivial,trivial,False,False,False,0.025046302752606213,0.07195560127171284,0.08677233491930295,0.1668333333333333,0.5631250000000001
8,14,612,0.504,0.072875,0.5086666666666667,0.0795,0,0,trivial,trivial,False,False,False,0.00935689957706633,0.29369783323371723,0.29699056014250264,0.5063333333333333,0.07618749999999999
9,14,2408,0.504,0.072875,0.5016666666666667,0.0795,0,0,trivial,trivial,False,False,False,0.005881259072694237,0.3098777130670034,0.30694928080048667,0.5028333333333334,0.07618749999999999
10,14,5116,0.504,0.072875,0.5063333333333334,0.06625,0,0,trivial,trivial,False,False,False,0.005881259072694311,0.30654637858435846,0.30414578679626086,0.5051666666666668,0.0695625
11,14,6208,0.504,0.072875,0.504,0.0795,0,0,trivial,trivial,False,False,False,0.004115226337448562,0.30680501650697956,0.3054957066492981,0.504,0.07618749999999999
12,14,6743,0.504,0.072875,0.504,0.06625,0,0,trivial,trivial,False,False,False,0.004115226337448555,0.3098777130670034,0.30694928080048667,0.504,0.0695625
13,14,6908,0.504,0.072875,0.5016666666666667,0.06625,0,0,trivial,trivial,False,False,False,0.005881259072694232,0.3098777130670034,0.30694928080048667,0.5028333333333334,0.0695625
14,14,7141,0.504,0.072875,0.5086666666666667,0.072875,0,0,trivial,trivial,False,False,False,0.008403361344537896,0.29685228551982845,0.29847822253504874,0.5063333333333333,0.072875
15,19,2055,0.0256666666666666,0.053,0.0233333333333333,0.046375,0,0,trivial,trivial,False,False,False,0.005881259072694207,0.3835977061117744,0.3583497472615553,0.024499999999999952,0.049687499999999996
16,19,2287,0.0256666666666666,0.053,0.0256666666666666,0.03975,0,0,trivial,trivial,False,False,False,0.008230452674897118,0.3835977061117744,0.3583497472615553,0.0256666666666666,0.046375
17,19,2682,0.0256666666666666,0.053,0.0233333333333333,0.059625,0,0,trivial,trivial,False,False,False,0.005881259072694203,0.3815180819000538,0.357730224651675,0.024499999999999952,0.0563125
18,19,2729,0.0256666666666666,0.053,0.0326666666666666,0.053,0,0,trivial,trivial,False,False,False,0.01260504201680672,0.3835977061117744,0.3583497472615553,0.0291666666666666,0.053
19,19,3088,0.0256666666666666,0.053,0.0303333333333333,0.046375,0,0,trivial,trivial,False,False,False,0.009356899577066305,0.3835977061117744,0.3583497472615553,0.02799999999999995,0.049687499999999996
20,21,4587,0.063,1.159375,0.063,1.166,1,1,topological,topological,False,False,False,0.004115226337448541,0.05340183985148273,0.47900298528959623,0.063,1.1626875
21,21,4794,0.063,1.159375,0.0653333333333333,1.159375,1,1,topological,topological,False,False,False,0.004201680672268837,0.05140375512292735,0.48073898459320363,0.06416666666666665,1.159375
22,21,5171,0.063,1.159375,0.0653333333333333,1.166,1,1,topological,topological,False,False,False,0.005881259072694183,0.04985776885141718,0.4795405423590826,0.06416666666666665,1.1626875
23,21,5538,0.063,1.159375,0.0606666666666666,1.159375,1,1,topological,topological,False,False,False,0.004201680672269031,0.05482021540716674,0.4803018825960681,0.061833333333333296,1.159375
24,21,5915,0.063,1.159375,0.0653333333333333,1.146125,1,1,topological,topological,False,False,False,0.009240912925974253,0.05446851452717597,0.48073898459320363,0.06416666666666665,1.1527500000000002
25,22,5364,0.35,0.483625,0.3453333333333334,0.483625,0,0,trivial,trivial,False,False,False,0.008403361344537674,0.16384563570586325,0.17946763034455862,0.3476666666666667,0.483625
26,22,5572,0.35,0.483625,0.3546666666666667,0.477,0,0,trivial,trivial,False,False,False,0.009356899577066346,0.16384563570586325,0.17946763034455862,0.35233333333333333,0.48031250000000003
27,22,6272,0.35,0.483625,0.3453333333333334,0.5035000000000001,0,0,trivial,trivial,False,False,False,0.014934265035907947,0.14107697782036083,0.1560878057675131,0.3476666666666667,0.4935625
28,22,6307,0.35,0.483625,0.3546666666666667,0.5035000000000001,0,0,trivial,trivial,False,False,False,0.014934265035908072,0.1332537250274872,0.1483405569996935,0.35233333333333333,0.4935625
29,22,7161,0.35,0.483625,0.3523333333333334,0.477,0,0,trivial,trivial,False,False,False,0.005881259072694341,0.16384563570586325,0.17946763034455862,0.3511666666666667,0.48031250000000003
30,22,7258,0.35,0.483625,0.35,0.477,0,0,trivial,trivial,False,False,False,0.0041152263374485964,0.16384563570586325,0.17946763034455862,0.35,0.48031250000000003
31,27,409,0.301,0.371,0.301,0.337875,0,0,trivial,trivial,False,False,False,0.020576131687242788,0.31284884260593926,0.32917699131119943,0.301,0.35443749999999996
32,27,496,0.301,0.371,0.3056666666666667,0.337875,0,0,trivial,trivial,False,False,False,0.0222259685300243,0.31284884260593926,0.32917699131119943,0.30333333333333334,0.35443749999999996
33,27,1111,0.301,0.371,0.308,0.38425,0,0,trivial,trivial,False,False,False,0.015054150108165706,0.29832257779434707,0.31499567654238214,0.3045,0.377625
34,27,1116,0.301,0.371,0.287,0.35775,0,0,trivial,trivial,False,False,False,0.026519590649472204,0.31284884260593926,0.32917699131119943,0.294,0.364375
35,27,1134,0.301,0.371,0.2893333333333333,0.404125,0,0,trivial,trivial,False,False,False,0.02940629536347127,0.28376996590940656,0.3017309027018227,0.29516666666666663,0.38756250000000003
36,29,2460,0.2636666666666667,0.6558750000000001,0.2613333333333333,0.6625000000000001,1,1,topological,topological,False,False,False,0.005881259072694342,0.025220962421350204,0.06382111563849135,0.2625,0.6591875
37,29,4127,0.2636666666666667,0.6558750000000001,0.266,0.6558750000000001,1,1,topological,topological,False,False,False,0.004201680672268837,0.04537157596759744,0.06382111563849135,0.26483333333333337,0.6558750000000001
