backend,nk,pilot_runtime_seconds,projected_full_runtime_seconds,projected_full_runtime_hours
cpu,512,1.9062094999972032,41.452610494079806,0.011514614026133279
cpu,1024,1.3788523000112036,29.98465138344676,0.00832906982873521
cpu,2048,2.911814500010223,63.32059109983169,0.01758905308328658
gpu,512,1.21085220000532,26.331305458709437,0.007314251516308177
gpu,1024,0.09016659999906551,1.9607713366984285,0.0005446587046384524
gpu,2048,0.19120359999942593,4.157931410925016,0.0011549809474791712
