backend,nk_low,nk_high,max_abs_gap_change,median_abs_gap_change,p95_abs_gap_change
cpu,512,1024,0.0004971032162819973,2.3961016330779905e-05,0.0002804164879466175
cpu,1024,2048,0.00038592456202884333,3.983643281690874e-06,6.895335412461772e-05
gpu,512,1024,0.000497103216281783,2.3961016330705312e-05,0.0002804164879459826
gpu,1024,2048,0.00038592456202882664,3.983643281468829e-06,6.895335412501237e-05
