point_id,coarse_gap,coarse_k,local_gap,local_k,local_gap_error,status
125,0.10159475917446938,0.1235156086026756,0.10159449655077356,0.12403454216514342,2.626236958180872e-07,ok
126,0.009565149424145198,-0.028385574647819836,0.009564411863618838,-0.027870208300082577,7.375605263603563e-07,ok
137,0.007923233436545213,0.06521010392066723,0.00792306361423494,0.06479738237902755,1.6982231027320993e-07,ok
169,0.009998850909827389,-0.14653093939820522,0.009998363157600328,-0.14725590722960735,4.877522270605589e-07,ok
298,0.07913000800486301,-1.940192386063147,0.07912984491211707,-1.9400020676142065,1.6309274594727974e-07,ok
336,0.008357921507170839,0.02378250848871391,0.00835632355071964,0.024492268059630007,1.5979564511985067e-06,ok
357,0.32279852051345503,0.3766842473535014,0.3227984137555083,0.3764235476387623,1.0675794676062722e-07,ok
362,0.3196995611138765,0.34753149501249725,0.31969886258694724,0.34824621691820745,6.985269292436591e-07,ok
420,0.023713570956082192,0.06674445930703587,0.0237135199139019,0.0669354218948377,5.1042180291421824e-08,ok
480,0.2725688081634382,0.3275848749897049,0.27256880618894536,0.3276227100195097,1.9744928470011303e-09,ok
515,7.535750168148205e-05,1.9616733614723079,1.1649254235197455e-08,1.9617635313968123,7.534585242724685e-05,ok
531,0.004209817793235695,0.06214139314792994,0.004209784605595501,0.06195293908188404,3.3187640194158596e-08,ok
534,4.650354493955572e-06,-1.8788181706084013,1.8597102850321087e-11,-1.87885390660275,4.6503358968527216e-06,ok
550,0.004737293367935627,1.897230435244825,0.004737246172878397,1.8971294719579905,4.719505723033146e-08,ok
558,0.025665034438371467,-0.09129414548893414,0.025664753004599954,-0.09178289990176847,2.814337715130455e-07,ok
571,0.03084380670387198,0.16954627019373483,0.030843744218349983,0.16975149175857673,6.248552199619728e-08,ok
574,2.3788009035372754e-05,-1.9248488321994606,4.661571880474244e-09,-1.9249166902176686,2.378334746349228e-05,ok
576,0.1265804031629735,0.14653093939820522,0.12658035654924885,0.1467547204907631,4.661372465797342e-08,ok
590,0.005294665151064123,0.017645086943239345,0.005294651542559159,0.01758776513572924,1.3608504963527612e-08,ok
591,0.0065013697374601805,0.020713797715976628,0.006499369222709816,0.019953481098365256,2.000514750364127e-06,ok
596,0.00217416759003249,0.01150766539776478,0.002172016363422977,0.01085134594306325,2.151226609512988e-06,ok
602,0.00803140410498843,0.06521010392066723,0.00803136247270427,0.06501429817947457,4.163228416002862e-08,ok
664,1.155324584531311e-05,-0.24012661796669235,1.6115604555641266e-10,-0.24018722356558975,1.1553084689267554e-05,ok
672,0.5065637241767549,-0.42578361971729795,0.506563642255839,-0.42553734407098176,8.192091582870376e-08,ok
681,9.87353168572828e-05,1.9632077168586766,5.3931578155147994e-11,1.9633271705245825,9.873526292570464e-05,ok
686,0.01795427449222007,-0.042194773125137607,0.017953803542434713,-0.04269204305404628,4.7094978535694443e-07,ok
693,0.00012414648142886373,-1.811306533608181,2.702055000956839e-09,-1.811090448552555,0.0001241437793738628,ok
704,0.5284054278558034,-0.43192104126277253,0.528405396314008,-0.4317669905992956,3.1541795397771466e-08,ok
718,0.001250064384227377,-0.003835888465921573,0.001245123611778365,-0.00439711948845023,4.940772449012025e-06,ok
737,0.4080240168871037,-0.3337222965351795,0.40802384224097243,-0.33331616690588506,1.7464613127904371e-07,ok
744,0.00015618992214659638,-1.8404592859491853,2.770783903999337e-09,-1.8407117200109124,0.0001561871513626924,ok
771,0.025255708766660293,0.05753832698882402,0.025255706997513325,0.05750415330219605,1.7691469678116079e-09,ok
802,0.3519024286927001,0.2907603457168575,0.3519022243944888,0.29030037231286787,2.042982112926417e-07,ok
810,3.608344370171232e-05,-0.28922599033048885,4.3618750494996076e-10,-0.2893020749566766,3.608300751420737e-05,ok
827,0.02270960319589727,-0.04986655005698081,0.02270960204293892,-0.04989220481721013,1.1529583503200325e-09,ok
832,0.1002327144875231,-0.2677450149213279,0.10023266346903803,-0.2675282556988705,5.101848507549356e-08,ok
842,0.35434176080355867,-0.38895909044445054,0.3543411960445914,-0.38835567745757427,5.647589672586051e-07,ok
868,0.09335621925717803,-0.4119744212399802,0.09335461253936664,-0.4114078331963227,1.6067178113948755e-06,ok
873,0.025662566115057725,-0.0529352608297181,0.02566198763872108,-0.05353124749525984,5.784763366448176e-07,ok
885,0.3639783822475814,-0.4150431320127175,0.363978020491842,-0.41458738488934443,3.6175573936425565e-07,ok
888,0.028776387179612284,0.05753832698882402,0.02877638668236677,0.05755623097483831,4.972455155960454e-10,ok
891,0.0336764380718292,-2.4004990019737393,0.033671625101386826,-2.4011405857362664,4.8129704423721664e-06,ok
907,0.03175393190073736,2.1212463216546467,0.03175256497179978,2.121620145274216,1.366928937582279e-06,ok
913,0.02200984878463653,0.07748494701161636,0.022009510297532855,0.07801077930295985,3.3848710367587187e-07,ok
917,0.28433866285755677,-0.26314194876222197,0.28433818058071336,-0.2624396319250861,4.822768434054048e-07,ok
918,0.28403124468150076,-0.28462292417138296,0.28403073715373084,-0.28530590692385527,5.075277699218006e-07,ok
929,0.14049350098962896,0.19563031176200174,0.14049348855305807,0.1955214986398679,1.2436570884233333e-08,ok
962,0.40193067512243086,-0.3245161642169676,0.40193013536153316,-0.3252401593946521,5.397608976998036e-07,ok
963,0.3586167833124368,0.37821860273987007,0.35861634638335066,0.3787655793815232,4.3692908613390813e-07,ok
965,0.022608119886491918,-0.0606070377615613,0.022608069696458257,-0.06079459425113054,5.019003366038555e-08,ok
968,0.0029961068030575936,-0.009973310011396138,0.002995318353617508,-0.010307797967498367,7.884494400856729e-07,ok
970,0.3869173336280648,-0.31377567651238714,0.38691731864538004,-0.3136535680695478,1.498268475952358e-08,ok
975,0.01552080504907971,0.06214139314792994,0.015520626295980559,0.06250521821811938,1.78753099150733e-07,ok
1023,0.048934694034893984,-0.16801191480736619,0.048934600830298526,-0.16774735773235383,9.320459545825166e-08,ok
1030,0.12879377826339572,-0.18488982405742124,0.12879343372269103,-0.18431468587639088,3.4454070468870057e-07,ok
1039,0.0006395009495706427,0.0023015330795529317,0.0006300300286306064,0.0017959809110488223,9.470920940036283e-06,ok
1050,7.274180851537775e-05,0.18028675789831533,4.2887474844173716e-10,0.18015168356487576,7.27413796406293e-05,ok
1076,0.028342784986751215,-0.08975979010256549,0.028342771169234816,-0.08986657138672438,1.3817516398423324e-08,ok
1077,0.39173033682565256,-0.42271490894456065,0.39173032390025125,-0.42280206552242605,1.2925401304819673e-08,ok
1081,0.00014369516296642743,-1.9708794937905199,3.73313983202753e-09,-1.9707154914224043,0.0001436914298265954,ok
1092,0.0019791598368835784,1.901833501403931,0.0019791527777134545,1.901801513514604,7.059170123880493e-09,ok
1111,0.29832262023054035,-0.2524014610576415,0.29832257779434707,-0.25261797382389206,4.243619328159198e-08,ok
1151,0.011804827030605708,0.028385574647819836,0.011804031722224589,0.02892008645766042,7.953083811188671e-07,ok
1156,0.34797807140341186,-0.4119744212399802,0.3479771725221034,-0.41126383928820065,8.988813084420677e-07,ok
1165,0.3085991281561399,-1.841993641335554,0.3085989095212844,-1.8416851144980206,2.1863485549777906e-07,ok
1173,0.0007967419046306084,1.901833501403931,0.0007948827632122827,1.9012744379566726,1.859141418325723e-06,ok
1174,0.08669485701212981,-1.904902212176668,0.0866947763284882,-1.9050346146742174,8.06836416150647e-08,ok
1180,0.4919963115661989,0.41964619817182336,0.49199600656864195,0.42012054223105455,3.0499755693247366e-07,ok
1191,0.02205914591315479,0.04679783928424353,0.02205879864253591,0.04723411973269709,3.4727061887923627e-07,ok
1240,0.0303232767223443,0.05907268237519266,0.030322878406432507,0.05958462237758155,3.9831591179192993e-07,ok
1245,0.02125990329015457,-0.07134752546614179,0.021259604311208345,-0.07182487570012652,2.9897894622543664e-07,ok
1252,0.04219980951914388,0.2278517748757432,0.04219962790791374,0.22825487994237026,1.8161123013782365e-07,ok
1254,4.32740718041084e-05,-0.20790515485295086,3.423000455391962e-10,-0.20771803529761268,4.327372950406286e-05,ok
1272,0.0008657408000259954,0.0023015330795529317,0.0008653300497167361,0.002415314231243304,4.107503092592264e-07,ok
1282,0.4784688056970242,-0.3950965119899251,0.47846824916605885,-0.3957657434410926,5.565309653676742e-07,ok
1290,0.005719791335313964,0.06981317007977315,0.005719345482974081,0.07048944192017759,4.458523398835276e-07,ok
1314,0.0004471364449291184,-1.8205126659263928,4.82233209813641e-09,-1.821232892244496,0.00044713162259702024,ok
1319,0.011770891139045251,0.028385574647819836,0.011770847625668646,0.028510070177941493,4.351337660503385e-08,ok
1322,0.00023742325309923415,1.8450623521082912,2.5630372288376377e-09,1.8456552647058597,0.0002374206900620053,ok
1351,0.07178242187026122,0.21404257639842544,0.07178171680820374,0.21335807265405915,7.050620574877708e-07,ok
1368,0.5137417948043507,0.42885233049003524,0.5137417946329506,0.42884106190025095,1.7140011632221785e-10,ok
1381,0.02670502708742531,0.41657748739908607,0.026703238447501103,0.4169845560356076,1.7886399242064699e-06,ok
1409,0.07837357271739892,1.91410834449488,0.07837271637952652,1.914523247743384,8.563378724041337e-07,ok
1428,0.0001728999143250727,-1.8680776829038208,3.6667754249066103e-09,-1.8675183454551336,0.0001728962475496478,ok
1432,0.022735723394807106,2.394361580428265,0.02272906628027212,2.3949990857479575,6.657114534985853e-06,ok
1433,6.91261250455596e-05,0.1971646671483704,6.822472021452696e-10,0.19696518820733022,6.912544279835746e-05,ok
1460,0.006685440211948133,-0.05446961621608674,0.006685128217026519,-0.053946340792962566,3.119949216132123e-07,ok
1478,0.39539870396711757,0.43192104126277253,0.39539800428587524,0.43129130145782035,6.996812423332166e-07,ok
1479,0.3256080559161764,-0.2968977672623321,0.32560801734556294,-0.2970894992700157,3.8570613480892746e-08,ok
1497,0.00021077681427232584,0.06827881469340451,4.165675148424309e-11,0.0676959421765666,0.00021077677261557436,ok
1504,0.020319617070441144,-0.05907268237519266,0.020319198680308456,-0.05854968764641244,4.183901326886008e-07,ok
1520,0.1377574948379973,-0.39969957814903107,0.13775606842430785,-0.4003423770914152,1.4264136894426294e-06,ok
1521,4.1359208004385846e-05,0.23245484103484915,4.871232826009152e-10,0.23259339759558983,4.1358720881103244e-05,ok
1523,0.0008877701070526089,0.04679783928424353,0.0008877434415674263,0.04659027801446136,2.6665485182669584e-08,ok
1536,0.0004030833833131926,1.7990316905172319,1.4950755520917565e-09,1.7996380685390108,0.0004030818882376405,ok
1553,0.08670892273809233,-1.940192386063147,0.08670820447120767,-1.9406156827183647,7.182668846639206e-07,ok
1557,0.4480615210192298,-0.4089057104672429,0.44806113072375214,-0.4083776834033306,3.9029547765911943e-07,ok
1561,0.08238261471939247,0.2232487087166373,0.08238256064753517,0.2230262128063214,5.407185729722208e-08,ok
1571,8.589097586056612e-05,1.9325206091313036,3.2214271685607013e-09,1.9327218079218458,8.588775443339756e-05,ok
1582,0.21353363324532312,-0.2646763041485906,0.21353362460851566,-0.2647620245937641,8.636807463657803e-09,ok
1585,0.0024130891158690862,0.006904599238658856,0.0024085981799581886,0.006280121064200284,4.490935910897616e-06,ok
1591,0.014802837983922089,0.03759170696603168,0.014802815372603665,0.03748762970705055,2.261131842352937e-08,ok
1594,9.393749122167658e-05,-1.9708794937905199,1.4596700931133643e-08,-1.970780232190926,9.392289452074545e-05,ok
1602,2.5964456219349168e-05,-0.138859162466362,4.7088307941168525e-11,-0.13858893039679243,2.5964409131041228e-05,ok
1604,0.389545020774003,-0.42885233049003524,0.3895450207640338,-0.42885470191172814,9.969192138470362e-12,ok
1627,0.025872985885181388,0.08208801317072228,0.025872619969297277,0.08153962354537692,3.659158841103072e-07,ok
1631,6.729060440343809e-05,-1.8067034674490752,5.088534490111497e-09,-1.8066000640232045,6.728551586894799e-05,ok
1634,0.3717843448819423,-0.3674781150352896,0.3717840990564426,-0.36704965109669585,2.458254996784426e-07,ok
1639,0.3970687164589286,0.35980633810344637,0.3970686623696865,0.36001630434674814,5.408924208527566e-08,ok
1668,5.143783116124328e-05,1.8450623521082912,8.454476751926646e-09,1.8451770675549204,5.142937668449136e-05,ok
1670,0.43738819430464987,-0.4150431320127175,0.4373876126023542,-0.41566980783315355,5.817022956655649e-07,ok
1681,0.26196301178275233,-0.2907603457168575,0.26196298362809256,-0.29091483883281954,2.8154659770240897e-08,ok
1710,0.0001706404583376996,1.7898255581990201,3.531494324925042e-09,1.7895841816843188,0.00017063692684337467,ok
1725,0.00039547625819886677,-1.8189783105400243,8.46543592859184e-10,-1.8196849985968973,0.0003954754116552739,ok
1731,0.0004708054575294763,-1.7990316905172319,5.392361158765673e-09,-1.7997624142877413,0.0004708000651683175,ok
1732,0.004083548804402963,1.8987647906311935,0.004081673279832171,1.8993674409413899,1.8755245707914592e-06,ok
1735,0.04832469230371267,0.1971646671483704,0.048324684773365094,0.19708039111538156,7.530347574669083e-09,ok
1748,1.401077001801298e-07,0.20637079946658224,1.1879609658882853e-10,0.20636941373519413,1.3998890408354097e-07,ok
1758,0.00020100880725777183,-1.8097721782218124,3.6873409451404215e-09,-1.809440948738582,0.0002010051199168267,ok
1767,0.019148348711859463,0.08669107932982821,0.019148332599202303,0.08657374037348964,1.6112657159894628e-08,ok
1768,0.0004311327614963207,0.0007671776931842903,0.000422318131521114,0.001104892141781555,8.814629975206659e-06,ok
1773,3.214160433361805e-05,1.858871550585609,1.1182621815807587e-09,1.858734829868867,3.214048607143647e-05,ok
1774,0.016092174763338418,-0.07134752546614179,0.016092089869323745,-0.0710840041531724,8.489401467220992e-08,ok
1799,2.6742481830463128e-05,1.8450623521082912,1.8837564824699003e-09,1.8451184307239572,2.6740598073980658e-05,ok
1843,1.7195980841552642e-05,-0.18028675789831533,2.137463837663087e-10,-0.18038927808723226,1.7195767095168877e-05,ok
1845,0.0013894847152081103,0.003835888465921573,0.0013888633661359524,0.003658207448545614,6.213490721578094e-07,ok
1846,3.75306480827773e-05,-1.9125739891085114,7.394693395913538e-10,-1.9128357567768939,3.752990861343771e-05,ok
1848,0.3161314077266767,-0.35980633810344637,0.3161311685488807,-0.36021020049792707,2.391777960131236e-07,ok
1857,0.4986666356073602,-0.4334553966491411,0.4986665508695926,-0.43321069725674466,8.473776758055607e-08,ok
1863,8.055198850001605e-06,0.25086710567127285,6.884066836254522e-10,0.2508481272911345,8.054510443317979e-06,ok
1893,0.0003555372614639784,1.8143752443809185,7.435131703493604e-10,1.814959632716576,0.00035553651795080805,ok
1894,7.084454772866744e-05,0.2232487087166373,1.1292706215590862e-10,0.223507523227938,7.084443480160528e-05,ok
1914,0.004304056858430029,0.01150766539776478,0.004301224987614042,0.01085934075477013,2.831870815987042e-06,ok
1918,0.010212912848394314,-0.028385574647819836,0.010212753854017119,-0.028633395753717927,1.5899437719527065e-07,ok
1922,0.00012468614142890908,1.7959629797444947,4.236528448253769e-09,1.7957754744750494,0.00012468190490046082,ok
1931,0.26435621850648056,-0.43192104126277253,0.26435591039203415,-0.4322635451790573,3.0811444640121977e-07,ok
1957,0.5202439254364544,-0.4273179751036666,0.520243857027783,-0.42709074986949247,6.840867139423779e-08,ok
