triangle_id,point_ids,center_kBT,center_J_A,circumradius_norm,topology_labels,contains_z2_change,bulk_gap_min,pfaffian_margin_min
6331,3836;2844;6167,0.5366666666666667,0.23187500000000003,inf,trivial,False,0.005618596653844251,0.16349385170062533
6330,6167;2844;6139,0.539,0.21862499999999999,inf,trivial,False,0.005618596653844251,0.16349385170062533
30,1381;4035;6139,0.5475555555555557,0.159,inf,trivial,False,0.009153094085108851,0.17886986961040952
6329,2844;5237;6139,0.5413333333333333,0.205375,inf,trivial,False,0.009153094085108851,0.17232938068522835
0,7122;5012;847,0.32433333333333336,0.8259166666666667,18.217903937267923,topological;trivial,True,0.0012066413672719102,0.0778873000483289
2,2157;7122;847,0.31344444444444447,0.8502083333333336,4.49195914389089,topological;trivial,True,0.00022850794075670512,0.05966009699524891
1,7411;2157;847,0.3041111111111111,0.8678750000000002,2.5995512619786623,topological;trivial,True,0.00022850794075670512,0.04931217964164086
4,6757;7411;847,0.29477777777777775,0.8833333333333334,2.238091514253466,topological;trivial,True,0.00036188015076304855,0.03339875172546192
22,4818;6757;847,0.154,1.2499166666666668,1.820557907039217,topological;trivial,True,0.00036188015076304855,0.03339875172546192
23,4818;5713;6757,0.29011111111111115,0.8833333333333334,1.7498111261278604,topological;trivial,True,0.00036188015076304855,0.029659927377776646
21,5713;4818;5394,0.28700000000000003,0.88775,1.7180655187534486,topological;trivial,True,0.0003428057314216799,0.02564180239298902
20,4818;2441;5394,0.27377777777777784,0.9054166666666666,1.4573514525847369,topological;trivial,True,0.0003428057314216799,0.0080576679592409
17,2441;4818;4930,0.2605555555555556,0.9230833333333335,1.4559254683412102,topological,False,0.0007576258573679983,0.0080576679592409
42,797;955;1273,0.0007777777777777667,0.2627916666666667,1.1608915176519197,trivial,False,0.19008553301573244,0.20901439298946695
18,4818;2906;4930,0.14155555555555555,1.2499166666666666,1.0962305890493567,topological,False,0.0007576258573679983,0.014593855105870385
15,2906;1130;4930,0.14466666666666664,1.2278333333333336,1.0466601347062345,topological,False,0.0007576258573679983,0.014593855105870385
9,1130;7137;4930,0.2597777777777778,0.9054166666666669,1.0009938885584897,topological,False,0.0007576258573679983,0.014593855105870385
