kBT,JA,phase,phase_label,predicted_phase_before_exact,distance_to_normal_sc_boundary,distance_to_uniform_fflo_boundary,distance_to_old_curve_1,distance_to_old_curve_2,Delta_opt,q_opt,eta,Ic_plus,Ic_minus,eta_denominator_diagnostic,abs_Ic_plus,abs_Ic_minus,min_abs_Ic,F_SC,F_normal,DeltaF,free_energy_gap_to_normal,positive_delta_gap,delta_status,delta_boundary_ambiguous,delta_unresolved,delta_unresolved_requiring_rerun,delta_boundary_band_normal,needs_rerun_exact,q_min,q_max,q_edge_hit,q_expanded,q_unresolved,trusted_exact,training_eligible_exact,source_iteration,selection_source,A0_main,A0_main_raw,A0_for_pool,Aselect,B_delta_raw,U_NS,B_delta_gated,response_reliability,eta_positive_strong,n_q,coord_key,audit_roles
0.0163333333333333,1.4111250000000002,normal,0,0.0,0.021979015410037,0.6578397731216125,0.3826061320754717,0.3904711750986652,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.6803073288329529e-07,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,10,acquisition_stochastic,0.6864769460212904,0.6864769460212904,0.6864769460212904,0.0023931005644617,0.5715412579222835,0.5313894465821587,0.303710992746193,near_normal_unreliable,False,,"0.01633333,1.41112500",phase_qwindow_boundary_sensitive
0.0186666666666666,1.4111250000000002,normal,0,0.0,0.0223307984933624,0.6580197357650073,0.3826061320754717,0.3896604908208452,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.6567515825904877e-07,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,4,acquisition_stochastic,0.7042643943497333,0.7042643943497333,0.7042643943497333,0.0140669495103667,0.5856160958971554,0.6529661019976593,0.3823874594050529,near_normal_unreliable,False,,"0.01866667,1.41112500",phase_qwindow_boundary_sensitive
0.028,1.4111250000000002,normal,0,0.0,0.0223046739867748,0.6583451858934359,0.3826061320754717,0.3868497879335108,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.43125886697959e-07,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,1,acquisition_stochastic,0.9361908562234676,0.9361908562234676,0.9361908562234676,0.6177297851186244,0.8033064223806452,0.6699066178468239,0.5381402885116502,near_normal_unreliable,False,,"0.02800000,1.41112500",phase_qwindow_boundary_sensitive
0.0023333333333333,1.4045,normal,0,0.0,0.0234674055887385,0.6541888587663564,0.3797280062618552,0.3932048135593844,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.481533684621894e-07,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,11,acquisition_stochastic,1.4012363328913529,1.4012363328913529,1.4012363328913529,0.2159887643712442,0.4970142424050124,0.987274303799746,0.4906893901489668,near_normal_unreliable,False,,"0.00233333,1.40450000",phase_qwindow_boundary_sensitive
0.0046666666666666,1.4045,normal,0,,0.0223301543150293,0.6542106198742497,0.3796006224298471,0.3921342265050915,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.505411633129228e-07,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,0,random_seed,,,,,,,,near_normal_unreliable,False,,"0.00466667,1.40450000",phase_qwindow_boundary_sensitive
0.0116666666666666,1.4045,normal,0,0.0,0.0206415488194436,0.6544350885735346,0.3794811320754717,0.3891725369312541,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.5847282530678797e-07,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,16,acquisition_stochastic,0.6691140407991875,0.6691140407991875,0.6691140407991875,0.0037788528166118,0.6007246798771194,0.4949821791462085,0.2973480111124851,near_normal_unreliable,False,,"0.01166667,1.40450000",phase_qwindow_boundary_sensitive
0.014,1.4045,normal,0,0.0,0.0193238957611475,0.6545629429377752,0.3794811320754717,0.388269724007517,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.595452796543384e-07,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,2,acquisition_stochastic,1.1944917376423632,1.1944917376423632,1.1944917376423632,0.5687775750016852,0.6429848005014686,0.926023227078415,0.5954188599227408,near_normal_unreliable,False,,"0.01400000,1.40450000",phase_qwindow_boundary_sensitive
0.0163333333333333,1.4045,normal,0,0.0,0.0188540335029972,0.6547172898287431,0.3794811320754717,0.3874096228573326,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.581696751351558e-07,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,15,acquisition_stochastic,0.4932500942708093,0.4932500942708093,0.4932500942708093,0.002002386504083,0.5571224457234424,0.4079907421795673,0.2273008001156029,near_normal_unreliable,False,,"0.01633333,1.40450000",phase_qwindow_boundary_sensitive
0.0186666666666666,1.4045,normal,0,0.0,0.0192716021389918,0.6548981105151014,0.3794811320754717,0.3865925185596201,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.5446193013524126e-07,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,13,acquisition_stochastic,0.5242368886029897,0.5242368886029897,0.5242368886029897,0.0029670321675803,0.6088341842614107,0.458096287124049,0.2789046792843513,near_normal_unreliable,False,,"0.01866667,1.40450000",clean_high_JA_boundary_control;phase_qwindow_boundary_sensitive
0.0373333333333333,1.4045,normal,0,0.0,0.0205647814867539,0.6552202815053935,0.3794811320754717,0.3816336615089744,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0454933185854999e-07,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,1,acquisition_stochastic,0.822402655639083,0.822402655639083,0.822402655639083,0.0954693487938036,0.8319670414412479,0.5400092228269615,0.4492698754663347,near_normal_unreliable,False,,"0.03733333,1.40450000",phase_qwindow_boundary_sensitive
