kBT,JA,phase,phase_label,predicted_phase_before_exact,distance_to_normal_sc_boundary,distance_to_uniform_fflo_boundary,distance_to_old_curve_1,distance_to_old_curve_2,Delta_opt,q_opt,eta,Ic_plus,Ic_minus,eta_denominator_diagnostic,abs_Ic_plus,abs_Ic_minus,min_abs_Ic,F_SC,F_normal,DeltaF,free_energy_gap_to_normal,positive_delta_gap,delta_status,delta_boundary_ambiguous,delta_unresolved,delta_unresolved_requiring_rerun,delta_boundary_band_normal,needs_rerun_exact,q_min,q_max,q_edge_hit,q_expanded,q_unresolved,trusted_exact,training_eligible_exact,source_iteration,selection_source,A0_main,A0_main_raw,A0_for_pool,Aselect,B_delta_raw,U_NS,B_delta_gated,response_reliability,eta_positive_strong,audit_role,n_q,coord_key
0.0326666666666666,1.36475,normal,0,0.0,5.068597560972508e-05,0.6364702352440077,0.3607311320754716,0.3640182952311104,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.1934342847297332e-08,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,11,acquisition_stochastic,0.7518283474695033,0.7518283474695033,0.7518283474695033,0.036978659483561,0.5530272859046756,0.7293361310325864,0.4033427810571681,near_normal_unreliable,False,clean_high_JA_boundary_control,,"0.03266667,1.36475000"
0.042,1.36475,normal,0,0.0,0.0031853589282426,0.6364748723471653,0.3607311320754716,0.3621603414425128,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.4375558077261983e-08,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,18,acquisition_stochastic,0.4209249525491578,0.4209249525491578,0.4209249525491578,0.0034530095842117,0.5719431178496784,0.2836012196272827,0.1622037657795994,near_normal_unreliable,False,clean_high_JA_boundary_control,,"0.04200000,1.36475000"
0.0023333333333333,1.3581250000000002,normal,0,2.0,0.0051790697698922,0.6323139057730962,0.3578680969803005,0.3721373960017569,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.369517380200307e-08,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,14,acquisition_stochastic,0.5826820860127424,0.5826820860127424,0.5826820860127424,0.1085844141968691,0.4039457255579273,0.1751232402944448,0.0707402843627947,near_normal_unreliable,False,clean_high_JA_boundary_control,,"0.00233333,1.35812500"
0.0256666666666666,1.3515,FFLO,2,2.0,0.0062008717886039,0.6302249330630615,0.3544811320754716,0.3597439793898691,0.0631578947368421,-1.06312625250501,-0.0193934767331213,0.0029211496141019,-0.0030366928941656,0.0059578425082676,0.0029211496141019,0.0030366928941656,0.0029211496141019,,,-0.0001512322979164,-0.0001512322979164,,0,0,0,False,0,0,-1.375,0.5,0,1,0,1,1,18,acquisition_stochastic,1.412205419359139,1.412205419359139,1.412205419359139,0.7149810519197444,0.5124236719202485,0.9942139198847212,0.5094587475015525,clean,False,clean_high_JA_boundary_control,,"0.02566667,1.35150000"
0.0233333333333333,1.378,normal,0,0.0,0.007516724326447,0.6427202208010594,0.3669811320754716,0.372776451534521,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.006909719109444e-08,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,14,acquisition_stochastic,1.0597811120612133,1.0597811120612133,1.0597811120612133,0.4967971712117853,0.5129170089371472,0.9185127053474405,0.4711207894975763,near_normal_unreliable,False,clean_high_JA_boundary_control,,"0.02333333,1.37800000"
0.0536666666666666,1.3250000000000002,FFLO,2,0.0,0.0087636054937451,0.6177202803264294,0.3420438071516775,0.3421680873845768,0.0406015037593984,-1.0142785571142283,-0.015555139335823,0.0002632119405317,-0.000271529924755,0.0005347418652868,0.0002632119405317,0.000271529924755,0.0002632119405317,,,-9.5743744747967e-06,-9.5743744747967e-06,,0,0,0,False,0,0,-1.375,0.5,0,1,0,1,1,18,acquisition_stochastic,1.403731168474411,1.403731168474411,1.403731168474411,0.0909034215874693,0.5417744367653441,0.9812631599921652,0.531623295823337,clean,False,clean_high_JA_boundary_control,,"0.05366667,1.32500000"
0.0443333333333333,1.3382500000000002,FFLO,2,0.0,0.0101729310127723,0.6239702649979105,0.3482311320754718,0.3493531001438584,0.0556390977443609,-1.036823647294589,-0.0187102364419893,0.0009132323730157,-0.000948057547516,0.0018612899205317,0.0009132323730157,0.000948057547516,0.0009132323730157,,,-4.456390694906887e-05,-4.456390694906887e-05,,0,0,0,False,0,0,-1.375,0.5,0,1,0,1,1,2,acquisition_stochastic,0.8016560302864594,0.8016560302864594,0.8016560302864594,0.0455474313781951,0.7109371735450928,0.6821000296915695,0.4849302671839482,clean,False,clean_high_JA_boundary_control,,"0.04433333,1.33825000"
0.0723333333333333,1.278625,normal,0,0.0,0.0106090856481481,0.5958454341173615,0.3225808831210105,0.319142790181553,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.2705231089427116e-08,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,7,acquisition_stochastic,0.628475002118043,0.628475002118043,0.628475002118043,0.0237938043869564,0.5944224942080475,0.4951069090539314,0.2943026837794748,near_normal_unreliable,False,clean_high_JA_boundary_control,,"0.07233333,1.27862500"
0.0256666666666666,1.39125,normal,0,0.0,0.0125496525724304,0.6489747544237299,0.3732311320754717,0.3782331763080663,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.019995827800102e-07,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,10,acquisition_stochastic,0.6306055293136801,0.6306055293136801,0.6306055293136801,0.0101770854251635,0.576019588754389,0.4976834051901094,0.2866753903874907,near_normal_unreliable,False,clean_high_JA_boundary_control,,"0.02566667,1.39125000"
0.0746666666666666,1.2720000000000002,normal,0,0.0,0.0130622586436887,0.5927251294669079,0.3200269220481487,0.3154991182990238,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.5265312791612473e-08,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,8,acquisition_stochastic,0.5651431495007869,0.5651431495007869,0.5651431495007869,0.1066740317361341,0.5932349939860067,0.3452985562194633,0.2048431869222301,near_normal_unreliable,False,clean_high_JA_boundary_control,,"0.07466667,1.27200000"
0.077,1.119625,FFLO,2,2.0,0.0138575357919547,0.520851231463304,0.2498031891868824,0.2436973488491779,0.0481203007518796,-0.6729323308270677,-0.0159704658348609,0.000250335030282,-0.0002584607356792,0.0005087957659613,0.000250335030282,0.0002584607356792,0.000250335030282,,,-1.136286038749823e-05,-1.136286038749823e-05,,0,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,18,acquisition_stochastic,0.8313762033747001,0.8313762033747001,0.8313762033747001,0.121135001537785,0.3224150662125683,0.8678803463815024,0.2798176993431788,clean,False,clean_high_JA_boundary_control,,"0.07700000,1.11962500"
0.0793333333333333,1.2388750000000002,normal,0,0.0,0.0151710985079615,0.5770953880547501,0.30587461894022,0.298917488502058,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.651374859079624e-08,2,0,0,False,0,0,-1.0,0.5,0,0,0,1,1,1,acquisition_stochastic,0.9111158420956068,0.9111158420956068,0.9111158420956068,0.2918027165390781,0.6917355233850059,0.6611037950236475,0.4573089796624964,near_normal_unreliable,False,clean_high_JA_boundary_control,,"0.07933333,1.23887500"
0.0233333333333333,1.3250000000000002,FFLO,2,2.0,0.0161047122969296,0.6177202803264294,0.3419811320754717,0.3481928003490244,0.0646616541353383,-1.0142785571142283,-0.0226430159413881,0.0035474921943138,-0.0037118659566504,0.0072593581509643,0.0035474921943138,0.0037118659566504,0.0035474921943138,,,-0.0001891926371131,-0.0001891926371131,,0,0,0,False,0,0,-1.375,0.5,0,1,0,1,1,2,acquisition_stochastic,1.0217925657490623,1.0217925657490623,1.0217925657490623,0.2833834691694487,0.5758429595472069,0.8718363871273945,0.5020408454043832,clean,False,clean_high_JA_boundary_control,,"0.02333333,1.32500000"
