kBT,JA,phase,phase_label,predicted_phase_before_exact,distance_to_normal_sc_boundary,distance_to_uniform_fflo_boundary,distance_to_old_curve_1,distance_to_old_curve_2,Delta_opt,q_opt,eta,Ic_plus,Ic_minus,eta_denominator_diagnostic,abs_Ic_plus,abs_Ic_minus,min_abs_Ic,F_SC,F_normal,DeltaF,free_energy_gap_to_normal,positive_delta_gap,delta_status,delta_boundary_ambiguous,delta_unresolved,delta_unresolved_requiring_rerun,delta_boundary_band_normal,needs_rerun_exact,q_min,q_max,q_edge_hit,q_expanded,q_unresolved,trusted_exact,training_eligible_exact,source_iteration,selection_source,A0_main,A0_main_raw,A0_for_pool,Aselect,B_delta_raw,U_NS,B_delta_gated,response_reliability,eta_positive_strong,audit_role,n_q,coord_key
0.0723333333333333,1.23225,normal,0,0.0,0.010154915035721,0.573970498301966,0.3008858562675043,0.2974561227737707,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3.4863394393624962e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,5,acquisition_stochastic,0.7550296708008113,0.7550296708008113,0.7550296708008113,0.0193408144811514,0.6669231030860514,0.6203359683261916,0.4137163889519942,delta_ambiguous,False,near_zero_delta_refinement,,"0.07233333,1.23225000"
0.0816666666666666,1.132875,normal,0,0.0,0.0131350288698005,0.5271228807009871,0.2576383867980403,0.2488023864599946,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,8.57796500497443e-10,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,6,acquisition_stochastic,1.1347501215801783,1.1347501215801783,1.1347501215801783,0.0345441000690038,0.5528029255390152,0.9644020552821798,0.5331242775558281,delta_ambiguous,False,near_zero_delta_refinement,,"0.08166667,1.13287500"
0.0746666666666666,1.1991250000000002,normal,0,0.0,0.0001649305555555,0.5583505222206412,0.2860182138088816,0.2814200695153656,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0892706736598255e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,8,acquisition_stochastic,1.1744603544039718,1.1744603544039718,1.1744603544039718,0.3050710126861183,0.5517154748840902,0.9539763558866874,0.5263235182162176,delta_ambiguous,False,near_zero_delta_refinement,,"0.07466667,1.19912500"
0.0653333333333333,1.305125,normal,0,0.0,0.0073047120865404,0.6083501553931259,0.3337312626163364,0.3326061320754717,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.176146705172414e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,8,acquisition_stochastic,0.5221678716134068,0.5221678716134068,0.5221678716134068,0.0339534691452351,0.5816853867253942,0.3221535931390414,0.1873920374100586,delta_ambiguous,False,near_zero_delta_refinement,,"0.06533333,1.30512500"
0.0396666666666666,1.3581250000000002,normal,0,0.0,5.32852564102802e-05,0.6333497202684018,0.3576061320754718,0.3594447484902988,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,8.354761327211689e-11,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,8,acquisition_stochastic,0.485925381218584,0.485925381218584,0.485925381218584,0.0060177198384669,0.5550739453658112,0.3978499893984331,0.2208361632791344,delta_ambiguous,False,near_zero_delta_refinement,,"0.03966667,1.35812500"
0.0863333333333333,1.132875,normal,0,0.0,0.0132184740981917,0.5271011427533054,0.2595947671155977,0.2477112333828735,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,8.736359413674677e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,9,acquisition_stochastic,0.8327110157280717,0.8327110157280717,0.8327110157280717,0.425011004294101,0.5499781986226164,0.8257407136762148,0.4541393902369983,delta_ambiguous,False,near_zero_delta_refinement,,"0.08633333,1.13287500"
0.0793333333333333,1.1925,normal,0,0.0,0.0078607676312008,0.5552204525920875,0.2843474412730362,0.2772308210942754,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.80781550524523e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,9,acquisition_stochastic,0.7503309555644382,0.7503309555644382,0.7503309555644382,0.1327996500563147,0.5995948341847476,0.7616115715149654,0.4566583639357007,delta_ambiguous,False,near_zero_delta_refinement,,"0.07933333,1.19250000"
0.0676666666666666,1.2852500000000002,normal,0,0.0,0.0094916997216569,0.5989703282313429,0.324767019585371,0.3232311320754717,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,6.086071646649316e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,9,acquisition_stochastic,0.6553472581453959,0.6553472581453959,0.6553472581453959,0.1039017214064109,0.6236101515674529,0.5765179268751734,0.3595224317599806,delta_ambiguous,False,near_zero_delta_refinement,,"0.06766667,1.28525000"
0.0746666666666666,1.23225,normal,0,0.0,0.0093787132563949,0.5739753378644091,0.301466417504142,0.2969105462352102,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,7.488454079052076e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,10,acquisition_stochastic,0.9853146912305364,0.9853146912305364,0.9853146912305364,0.5135826499184551,0.593843628563525,0.821642588548848,0.4879272161661753,delta_ambiguous,False,near_zero_delta_refinement,,"0.07466667,1.23225000"
0.084,1.1130000000000002,normal,0,0.0,0.0031277842534964,0.5177655091876441,0.2494816481633925,0.2389625238895273,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.3120247110975922e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,10,acquisition_stochastic,1.5252310409398209,1.5252310409398209,1.5252310409398209,0.0399354764879513,0.4189196855052294,0.9978905501228044,0.4180359954260856,delta_ambiguous,False,near_zero_delta_refinement,,"0.08400000,1.11300000"
0.084,1.159375,normal,0,0.0,0.0153792197588377,0.5396386137424196,0.2707513304189375,0.2606491912973097,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,9.561172964467346e-09,3,1,1,False,1,0,-1.0,0.5,0,0,0,0,1,10,acquisition_stochastic,0.8871481984495866,0.8871481984495866,0.8871481984495866,0.0137472625947943,0.5269051111262778,0.8419239602301073,0.4436140378249206,delta_ambiguous,False,near_zero_delta_refinement,,"0.08400000,1.15937500"
